School Year,System ID,System Name,School ID,School Name,Grade Configuration,Grade Cluster,Number of Students Enrolled,Number of Schools,Title I Status,Title I Schools,Asian/Pacific Islander,American Indian/Alaskan,Black,Hispanic,Multi-Racial,White,Economically Disadvantaged,English Learners,Students with Disability
2021,601,Appling County,0103,Appling County High School,"09, 10, 11, 12",ALL,1049,NA,Y,NA,0.9%,0.2%,23.0%,14.8%,3.5%,57.7%,100.0%,3.4%,13.3%
2021,601,Appling County,0177,Appling County Elementary School,"03, 04, 05",ALL,509,NA,Y,NA,0.4%,0.0%,30.3%,23.2%,3.9%,42.2%,100.0%,19.3%,20.0%
2021,601,Appling County,0195,Appling County Middle School,"06, 07, 08",ALL,875,NA,Y,NA,0.3%,0.0%,23.1%,17.8%,4.5%,54.3%,100.0%,12.5%,16.7%
2021,601,Appling County,0277,Appling County Primary School,"PK, KK, 01, 02",ALL,547,NA,Y,NA,0.5%,0.0%,26.9%,21.2%,5.1%,46.3%,100.0%,18.1%,15.7%
2021,601,Appling County,1050,Altamaha Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,374,NA,Y,NA,0.0%,0.0%,7.8%,7.5%,3.7%,81.0%,100.0%,4.5%,15.0%
2021,601,Appling County,5050,Fourth District Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,141,NA,Y,NA,0.0%,0.0%,7.8%,16.3%,5.0%,70.9%,100.0%,12.8%,14.2%
2021,601,Appling County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,3495,6,NA,100.00%,0.5%,0.1%,22.4%,17.1%,4.1%,55.8%,100.0%,10.8%,15.7%
2021,602,Atkinson County,0103,Atkinson County High School,"09, 10, 11, 12",ALL,478,NA,Y,NA,0.0%,0.2%,15.3%,36.8%,1.0%,46.7%,100.0%,4.4%,10.9%
2021,602,Atkinson County,0111,Atkinson County Middle School,"06, 07, 08",ALL,394,NA,Y,NA,0.0%,0.0%,15.7%,44.2%,2.5%,37.6%,100.0%,20.8%,14.5%
2021,602,Atkinson County,0187,Willacoochee Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,179,NA,Y,NA,0.0%,0.0%,22.9%,30.2%,2.2%,44.7%,100.0%,21.8%,3.9%
2021,602,Atkinson County,0190,Pearson Elementary School,"PK, KK, 01, 02, 03, 04, 05",ALL,613,NA,Y,NA,0.3%,0.0%,12.4%,44.9%,2.1%,40.3%,100.0%,28.5%,15.8%
2021,602,Atkinson County,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",ALL,1664,4,NA,100.00%,0.1%,0.1%,15.1%,40.8%,1.9%,41.9%,100.0%,19.1%,12.8%
2021,603,Bacon County,0102,Bacon County Primary School,"PK, KK, 01, 02",ALL,484,NA,Y,NA,0.2%,0.0%,27.3%,14.5%,4.5%,53.5%,100.0%,8.7%,17.6%
2021,603,Bacon County,0202,Bacon County Middle School,"06, 07, 08",ALL,519,NA,Y,NA,0.2%,0.0%,20.0%,16.0%,4.4%,59.3%,100.0%,11.4%,17.1%
