School Name,Absent <=5D Percentage,Absent 6D-15D Percentage,Absent >15D Percentage
Appling County High School,29.4,42.9,27.7
Appling County Elementary School,38.1,42.2,19.6
Appling County Middle School,46.1,37.6,16.3
Appling County Primary School,41.1,45.3,13.5
Altamaha Elementary School,40.4,46.0,13.6
Fourth District Elementary School,34.8,42.6,22.7
All Schools,,,
Atkinson County High School,55.6,31.2,13.2
Atkinson County Middle School,54.8,32.0,13.2
Willacoochee Elementary School,45.8,45.8,8.4
Pearson Elementary School,49.9,39.6,10.4
Bacon County Primary School,26.4,46.5,27.1
Bacon County Middle School,35.3,36.2,28.5
Bacon County High School,23.7,36.3,39.9
Bacon County Elementary School,29.3,42.1,28.6
Baker County K12 School,31.7,46.1,22.2
Oak Hill MS,51.6,27.5,20.9
Baldwin High School,48.5,20.4,31.1
Lakeview Academy,46.1,35.1,18.9
Midway Hills Primary,36.3,38.1,25.6
Lakeview Primary,43.1,34.6,22.3
Midway Hills Academy,39.2,38.2,22.6
Banks County Middle School,37.7,40.6,21.6
Banks County Elementary School,39.3,44.9,15.8
Banks County High School,36.1,33.0,30.9
Banks County Primary School,36.0,47.8,16.2
Apalachee High School,14.5,28.8,56.8
County Line Elementary School,41.8,40.3,17.9
Haymon-Morris Middle School,34.3,36.8,28.8
Bear Creek Middle School,7.8,22.1,70.1
Kennedy Elementary School,24.6,40.6,34.7
Bramlett Elementary School,49.3,37.2,13.5
Westside Middle School,68.1,26.1,5.8
Bethlehem Elementary School,64.5,23.6,12.0
Russell Middle School,25.4,36.1,38.5
Yargo Elementary School,45.6,41.7,12.7
Winder Elementary School,6.3,28.8,64.9
Auburn Elementary School,28.5,45.6,25.9
Winder-Barrow High School,11.7,27.9,60.4
Holsenbeck Elementary School,37.2,42.0,20.7
Statham Elementary School,29.3,44.7,26.0
Woodland Middle School at Euharlee,34.2,41.0,24.8
Clear Creek Elementary School,50.0,40.4,9.6
Adairsville High School,28.8,35.4,35.8
Pine Log Elementary,46.6,42.6,10.8
Euharlee Elementary School,41.7,41.5,16.8
Cass High School,37.1,32.0,30.9
Cloverleaf Elementary,42.9,39.0,18.1
White Elementary School,46.5,42.8,10.7
Adairsville Elementary School,23.8,41.7,34.5
Mission Road Elementary School,51.7,37.7,10.6
Cass Middle School,42.9,35.0,22.1
Allatoona Elementary School,40.2,46.4,13.4
