School Name,County,Urban/Rural,Classification,19-21 Difference in Math,19-21 Difference in English,All Students English Achievement,All Students Math Achievement,2021 All Students English Achievement,2021 All Students Math Achievement,American Indian/Alaskan English Achievement,American Indian/Alaskan Math Achievement,Asian/Pacific Islander English Achievement,Asian/Pacific Islander Math Achievement,Black English Achievement,Black Math Achievement,Economically Disadvantaged English Achievement,Economically Disadvantaged Math Achievement,Hispanic English Achievement,Hispanic Math Achievement,White English Achievement,White Math Achievement,Students With Disability English Achievement,Students With Disability Math Achievement,2021 American Indian/Alaskan English Achievement,2021 American Indian/Alaskan Math Achievement,2021 Asian/Pacific Islander English Achievement,2021 Asian/Pacific Islander Math Achievement,2021 Black English Achievement,2021 Black Math Achievement,2021 Economically Disadvantaged English Achievement,2021 Economically Disadvantaged Math Achievement,2021 Hispanic English Achievement,2021 Hispanic Math Achievement,2021 White English Achievement,2021 White Math Achievement,2021 Students With Disability English Achievement,2021 Students With Disability Math Achievement
Appling County High School,Appling County,Rural,H,-10.129999999999995,-17.75,68.2,61.12,50.45,50.99,0.0,0.0,0.0,0.0,42.95,41.68,68.2,61.12,65.63,63.29,77.02,68.53,30.77,32.32,0.0,0.0,0.0,0.0,26.47,30.31,50.45,50.99,48.21,52.09,59.79,60.91,22.92,26.57
Appling County Elementary School,Appling County,Rural,E,-1.509999999999991,-5.549999999999997,54.66,69.94,49.11,68.43,0.0,0.0,0.0,0.0,41.0,57.34,54.66,69.94,53.89,72.42,63.88,76.97,26.48,40.2,0.0,0.0,0.0,0.0,32.55,51.58,49.11,68.43,47.82,65.36,60.22,81.15,23.03,39.9
Appling County Middle School,Appling County,Rural,M,-6.560000000000002,-7.840000000000003,62.24,66.64,54.4,60.08,0.0,0.0,0.0,0.0,44.14,46.3,62.24,66.64,58.53,67.89,70.88,75.53,38.39,44.39,0.0,0.0,0.0,0.0,37.65,43.07,54.4,60.08,48.15,58.52,64.36,68.28,27.09,38.44
Appling County Primary School,Appling County,Rural,E,-2.539999999999992,-9.149999999999999,55.19,69.32,46.04,66.78,0.0,0.0,0.0,0.0,33.71,52.17,55.19,69.32,55.18,74.15,69.17,81.68,27.77,29.63,0.0,0.0,0.0,0.0,28.41,47.73,46.04,66.78,45.24,63.1,58.91,80.15,32.76,56.91
Altamaha Elementary School,Appling County,Rural,E,-5.919999999999995,-9.14,60.0,64.21,50.86,58.29,0.0,0.0,0.0,0.0,28.13,31.25,60.0,64.21,38.89,58.34,65.34,68.0,33.34,40.28,0.0,0.0,0.0,0.0,0.0,0.0,50.86,58.29,23.34,33.33,56.21,62.95,27.58,36.67
Fourth District Elementary School,Appling County,Rural,E,4.1200000000000045,-4.780000000000001,68.84,81.83,64.06,85.95,0.0,0.0,0.0,0.0,0.0,0.0,68.84,81.83,0.0,0.0,75.0,88.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.06,85.95,0.0,0.0,79.17,98.96,0.0,0.0
All Schools,Appling County,Rural,E,-11.039999999999992,-5.780000000000001,67.59,69.07,61.81,58.03,66.76,70.79,100.0,100.0,52.82,50.3,54.57,55.58,58.0,62.35,80.84,83.97,32.35,35.34,62.53,61.61,98.11,76.91,44.3,35.6,50.94,46.68,50.92,47.92,73.35,71.76,29.75,30.0
Atkinson County High School,Atkinson County,Rural,H,-22.22,-12.829999999999998,68.22,58.89,55.39,36.67,0.0,0.0,0.0,0.0,53.75,40.79,68.22,58.89,61.87,55.56,80.85,67.83,29.7,24.67,0.0,0.0,0.0,0.0,44.45,0.0,55.39,36.67,53.03,36.07,63.26,41.67,0.0,0.0
Atkinson County Middle School,Atkinson County,Rural,M,-10.580000000000005,-7.410000000000004,68.43,58.74,61.02,48.16,0.0,0.0,0.0,0.0,57.14,41.84,68.43,58.74,68.76,56.92,72.55,66.68,22.87,26.27,0.0,0.0,0.0,0.0,52.09,34.37,61.02,48.16,61.0,49.01,64.06,52.49,30.44,27.18
Willacoochee Elementary School,Atkinson County,Rural,E,-21.010000000000005,-15.680000000000007,76.68,82.01,61.0,61.0,0.0,0.0,0.0,0.0,62.0,66.0,76.68,82.01,81.6,94.74,85.5,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,54.76,71.43,77.79,55.56,0.0,0.0
