School Name,County,BS,MS,S,phd,Total,Post Grad Percentage,Total Students Enrolled,Teacher-Student Ratio,White Percentage,Black Percentage,Econ Disadvantaged Percentage
Appling County High School,Appling County,16,26,14,0,56,0.7142857142857143,1049,18.732142857142858,57.7,23.0,100.0
Appling County Elementary School,Appling County,20,20,6,0,46,0.5652173913043478,509,11.065217391304348,42.2,30.3,100.0
Appling County Middle School,Appling County,24,27,8,1,60,0.6,875,14.583333333333334,54.3,23.1,100.0
Appling County Primary School,Appling County,22,14,15,1,52,0.5769230769230769,547,10.51923076923077,46.3,26.9,100.0
Altamaha Elementary School,Appling County,12,12,4,0,28,0.5714285714285714,374,13.357142857142858,81.0,7.8,100.0
Fourth District Elementary School,Appling County,5,4,5,0,14,0.6428571428571429,141,10.071428571428571,70.9,7.8,100.0
Atkinson County High School,Atkinson County,9,20,4,0,33,0.7272727272727273,478,14.484848484848484,46.7,15.3,100.0
Atkinson County Middle School,Atkinson County,18,7,4,0,29,0.3793103448275862,394,13.586206896551724,37.6,15.7,100.0
Willacoochee Elementary School,Atkinson County,4,7,2,0,13,0.6923076923076923,179,13.76923076923077,44.7,22.9,100.0
Pearson Elementary School,Atkinson County,18,16,8,4,46,0.6086956521739131,613,13.326086956521738,40.3,12.4,100.0
Bacon County Primary School,Bacon County,19,11,12,0,42,0.5476190476190477,484,11.523809523809524,53.5,27.3,100.0
Bacon County Middle School,Bacon County,18,14,3,2,37,0.5135135135135135,519,14.027027027027026,59.3,20.0,100.0
Bacon County High School,Bacon County,13,25,7,1,46,0.717391304347826,636,13.826086956521738,63.5,20.0,50.2
Bacon County Elementary School,Bacon County,11,18,7,0,36,0.6944444444444444,468,13.0,57.1,21.2,100.0
Baker County K12 School,Baker County,14,9,2,0,25,0.44,306,12.24,24.8,52.6,100.0
Oak Hill MS,Baldwin County,24,34,11,1,70,0.6571428571428571,1237,17.67142857142857,21.8,69.5,100.0
Baldwin High School,Baldwin County,27,36,12,3,78,0.6538461538461539,1306,16.743589743589745,20.1,72.2,100.0
Lakeview Academy,Baldwin County,11,18,1,1,31,0.6451612903225806,684,22.06451612903226,28.7,59.1,100.0
Midway Hills Primary,Baldwin County,17,15,11,0,43,0.6046511627906976,567,13.186046511627907,33.9,58.2,100.0
Lakeview Primary,Baldwin County,19,22,9,0,50,0.62,713,14.26,31.0,55.0,100.0
Midway Hills Academy,Baldwin County,11,18,5,2,36,0.6944444444444444,523,14.527777777777779,22.8,69.8,100.0
Banks County Middle School,Banks County,10,15,14,0,39,0.7435897435897436,716,18.358974358974358,82.7,1.1,56.0
Banks County Elementary School,Banks County,17,14,17,1,49,0.6530612244897959,621,12.673469387755102,85.7,2.3,57.2
Banks County High School,Banks County,22,18,20,1,61,0.639344262295082,892,14.62295081967213,84.6,2.5,43.2
Banks County Primary School,Banks County,11,14,23,0,48,0.7708333333333334,659,13.729166666666666,81.8,1.5,58.4
Apalachee High School,Barrow County,45,58,9,2,114,0.6052631578947368,2055,18.026315789473685,53.0,16.1,34.9
County Line Elementary School,Barrow County,23,21,2,1,47,0.5106382978723404,576,12.25531914893617,59.0,6.1,47.6
Haymon-Morris Middle School,Barrow County,23,27,7,2,59,0.6101694915254238,912,15.457627118644067,50.0,17.8,50.4
Bear Creek Middle School,Barrow County,39,59,29,7,134,0.7089552238805971,1228,9.164179104477611,0.9,87.1,71.0
Kennedy Elementary School,Barrow County,24,31,13,0,68,0.6470588235294118,925,13.602941176470589,39.5,22.1,58.3
Bramlett Elementary School,Barrow County,21,13,16,0,50,0.58,667,13.34,62.2,4.8,34.0
Westside Middle School,Barrow County,37,29,17,3,86,0.5697674418604651,452,5.255813953488372,79.4,2.0,59.3
Bethlehem Elementary School,Barrow County,43,44,8,1,96,0.5520833333333334,518,5.395833333333333,9.8,70.8,41.5
Russell Middle School,Barrow County,21,32,11,0,64,0.671875,1012,15.8125,55.2,12.4,49.4
Yargo Elementary School,Barrow County,29,25,11,3,68,0.5735294117647058,895,13.161764705882353,47.5,19.6,54.7
Winder Elementary School,Barrow County,13,30,8,0,51,0.7450980392156863,621,12.176470588235293,45.1,20.6,55.9
Barrow Arts and Sciences Academy,Barrow County,12,21,8,5,46,0.7391304347826086,645,14.021739130434783,58.1,12.2,38.8
Auburn Elementary School,Barrow County,25,29,2,1,57,0.5614035087719298,698,12.24561403508772,55.4,8.2,58.2
Winder-Barrow High School,Barrow County,30,75,14,2,121,0.7520661157024794,2041,16.867768595041323,56.3,14.7,30.3
Holsenbeck Elementary School,Barrow County,36,15,6,0,57,0.3684210526315789,704,12.350877192982455,56.5,8.1,48.7
Statham Elementary School,Barrow County,20,22,15,2,59,0.6610169491525424,743,12.59322033898305,56.7,14.3,55.3
Woodland Middle School at Euharlee,Bartow County,24,5,12,1,42,0.42857142857142855,790,18.80952380952381,76.8,7.0,59.4
Clear Creek Elementary School,Bartow County,30,36,25,0,91,0.6703296703296703,636,6.989010989010989,74.2,0.0,57.5
Adairsville High School,Bartow County,16,25,14,3,58,0.7241379310344828,1076,18.551724137931036,80.8,5.1,54.2
Pine Log Elementary,Bartow County,9,15,10,1,35,0.7428571428571429,397,11.342857142857143,88.4,1.0,52.9
Euharlee Elementary School,Bartow County,12,14,9,2,37,0.6756756756756757,470,12.702702702702704,77.0,6.4,54.9
Cass High School,Bartow County,31,34,19,0,84,0.6309523809523809,1586,18.88095238095238,58.8,15.0,61.0
Cloverleaf Elementary,Bartow County,21,14,13,1,49,0.5714285714285714,669,13.653061224489797,54.6,19.6,67.0
White Elementary School,Bartow County,16,20,3,0,39,0.5897435897435898,579,14.846153846153847,63.0,13.8,60.3
Adairsville Elementary School,Bartow County,26,17,12,0,55,0.5272727272727272,765,13.909090909090908,74.4,8.2,54.0
Mission Road Elementary School,Bartow County,14,6,13,0,33,0.5757575757575758,451,13.666666666666666,71.2,7.8,62.3
Red Top Middle School,Bartow County,20,12,9,3,44,0.5454545454545454,715,16.25,54.4,14.0,75.4
Cass Middle School,Bartow County,18,29,7,1,55,0.6727272727272727,1026,18.654545454545456,58.2,14.1,61.7
Allatoona Elementary School,Bartow County,15,13,4,0,32,0.53125,418,13.0625,49.5,4.3,64.6
Woodland High School,Bartow County,60,65,32,5,162,0.6296296296296297,1496,9.234567901234568,19.3,63.8,39.4
Kingston Elementary School,Bartow County,18,11,8,2,39,0.5384615384615384,519,13.307692307692308,47.6,17.0,64.4
Adairsville Middle School,Bartow County,14,18,13,1,46,0.6956521739130435,865,18.804347826086957,83.4,5.1,56.5
Hamilton Crossing Elementary School,Bartow County,18,17,9,0,44,0.5909090909090909,558,12.681818181818182,57.5,8.4,48.9
Taylorsville Elementary School,Bartow County,10,14,10,0,34,0.7058823529411765,511,15.029411764705882,78.9,5.3,42.1
