"","School.Name","County.x","Urban.Rural","Classification","X19.21.Difference.in.Math","X19.21.Difference.in.English","All.Students.English.Achievement","All.Students.Math.Achievement","X2021.All.Students.English.Achievement","X2021.All.Students.Math.Achievement","American.Indian.Alaskan.English.Achievement","American.Indian.Alaskan.Math.Achievement","Asian.Pacific.Islander.English.Achievement","Asian.Pacific.Islander.Math.Achievement","Black.English.Achievement","Black.Math.Achievement","Economically.Disadvantaged.English.Achievement","Economically.Disadvantaged.Math.Achievement","Hispanic.English.Achievement","Hispanic.Math.Achievement","White.English.Achievement","White.Math.Achievement","Students.With.Disability.English.Achievement","Students.With.Disability.Math.Achievement","X2021.American.Indian.Alaskan.English.Achievement","X2021.American.Indian.Alaskan.Math.Achievement","X2021.Asian.Pacific.Islander.English.Achievement","X2021.Asian.Pacific.Islander.Math.Achievement","X2021.Black.English.Achievement","X2021.Black.Math.Achievement","X2021.Economically.Disadvantaged.English.Achievement","X2021.Economically.Disadvantaged.Math.Achievement","X2021.Hispanic.English.Achievement","X2021.Hispanic.Math.Achievement","X2021.White.English.Achievement","X2021.White.Math.Achievement","X2021.Students.With.Disability.English.Achievement","X2021.Students.With.Disability.Math.Achievement","County.y","BS","MS","S","phd","Total","Post.Grad.Percentage","Total.Students.Enrolled","Teacher.Student.Ratio","White.Percentage","Black.Percentage","Econ.Disadvantaged.Percentage","County","Avg..Annual.Salaries.Administrators","Avg..Annual.Salaries.Teachers","Avg..Annual.Salaries.Support.Personnel","Absent...5D.Percentage","Absent.6D.15D.Percentage","Absent..15D.Percentage","id","amount","school_ppe_21","direct_cert_perc","mobility","ENROLL_PCT_GIFTED","u.r_dummy","growth.rate.math"
"1","A.L. Burruss Elementary School","Marietta City","","E",-2.24,-5.34,70.16,64.74,64.82,62.5,0,0,0,0,54.81,47.27,53.96,50,56.6,51.93,96.08,95.26,30,28.34,0,0,0,0,42.85,36.77,46.51,42.86,0,0,86.2,93.1,0,0,"Marietta City",15,17,4,1,37,0.594594594594595,459,12.4054054054054,29.8,43.8,51,"Marietta City",110419.19,62247.18,65359.27,65.1,25.5,9.4,1,5047950.37,15080.4599609375,33,19.2,16.5,NA,-2.24
"2","Aaron Cohn Middle School","Muscogee County","Urban","M",-23.01,-9.90000000000001,86.48,87.25,76.58,64.24,0,0,100,100,72.81,70.44,68.71,68.02,85,89,100,100,41.29,39.54,0,0,0,0,67.71,52.36,63,46.97,73.75,65.39,84.33,73.31,41.86,36.05,"Muscogee County",10,18,5,1,34,0.705882352941177,540,15.8823529411765,37.4,41.3,30.6,"Muscogee County",93709,59385.23,68900.14,93,6.9,0.2,1,3873552.84,10529.3701171875,15.1000003814697,11.2,20.7,1,-23.01
"3","Abbotts Hill Elementary School","Fulton County","Urban","E",-100,-2.81999999999999,100,100,97.18,0,0,0,100,100,90.25,82.93,89.78,81.82,85.95,75.02,100,100,55.75,57.28,0,0,0,0,73.34,73.34,0,0,73.92,84.79,96.03,97.13,80.64,74.19,"Fulton County",26,18,4,1,49,0.469387755102041,614,12.530612244898,39.3,16.4,9,"Fulton County",100026.3,62198.61,82118.47,67.8,25.1,7.2,1,5756515.21,12244.5302734375,4.90000009536743,11.2,6.7,1,-100
"4","Academy For Classical Education","Bibb County","Urban","E",-4.36,-4.31999999999999,93.52,86.2,89.2,81.84,0,0,100,100,82,69,93.52,86.2,75.01,87.5,93.48,87.14,47.07,44.11,0,0,97.3,99.99,74.17,61.67,0,0,83.34,66.67,90.87,84.22,37.5,65.63,"State Charter Schools II- Academy For Classical Education",58,60,6,0,124,0.532258064516129,1888,15.2258064516129,69.3,15.8,0,"State Charter Schools II- Academy For Classical Education",93961.91,49991.64,53770.51,71.9,24,4.1,1,14337424.54,7856.1201171875,8.89999961853027,5.7,29.3,1,-4.36
"5","Academy of Richmond County High School","Richmond County","Urban","H",-13.87,8.02,55.1,22.21,63.12,8.34,0,0,0,0,47.04,19.66,55.1,22.21,67.75,26.47,80.93,34.06,10.87,3.55,0,0,0,0,45.3,7.65,63.12,8.34,0,0,94.45,9.38,0,5.27,"Richmond County",23,33,8,1,65,0.646153846153846,1115,17.1538461538462,19,70.8,100,"Richmond County",91760,55531.26,69194.63,70,20,10,1,7872309,10718.66015625,35.0999984741211,13.2,6,1,-13.87
"6","Acworth Intermediate School","Cobb County","Urban","E",-19.42,-17.62,71.5,65.64,53.88,46.22,0,0,0,0,64.16,60.99,65.13,59.01,67.98,60.53,80.64,73.24,51.6,47.35,0,0,0,0,47.79,38.88,53.88,46.22,49.43,45.89,66.85,53.3,24.13,35.72,"Cobb County",20,25,3,0,48,0.583333333333333,622,12.9583333333333,28.5,36.8,100,"Cobb County",108251.95,65317.42,62804.31,63.3,27.8,8.8,1,6383484.04,12963.669921875,26.5,15.2,5.6,1,-19.42
"7","Adairsville Elementary School","Bartow County","Urban","E",3.95,-3.87,65.56,76.08,61.69,80.03,0,0,0,0,37.88,53.03,55.46,66.67,0,0,69.89,80.12,23.53,39.22,0,0,0,0,44.23,61.55,54.43,71.92,60.71,69.65,64.5,84.11,25,50,"Bartow County",26,17,12,0,55,0.527272727272727,765,13.9090909090909,74.4,8.2,54,"Bartow County",94891.5,59541.61,76496,23.8,41.7,34.5,1,6256622.99,10210.73046875,25.7999992370605,11.7,10.7,1,3.95
"8","Adairsville High School","Bartow County","Urban","H",-6.72,-5.82,65.31,57.14,59.49,50.42,0,0,0,0,45.12,34.05,52.93,43.69,64.11,46.25,67.97,60.94,23.08,23.38,0,0,0,0,21.74,0,44.8,45.23,61.91,45.84,64.29,53.09,12.12,26.32,"Bartow County",16,25,14,3,58,0.724137931034483,1076,18.551724137931,80.8,5.1,54.2,"Bartow County",91949.89,66100.02,68848.52,28.8,35.4,35.8,1,8710977.98,10421.4697265625,20.7000007629395,10.3,16.6,1,-6.72
"9","Adairsville Middle School","Bartow County","Urban","M",-6.42,-7.35,65.25,66.56,57.9,60.14,0,0,0,0,51.73,48.29,53.11,54.92,63.72,60.5,66.15,68.5,22.78,28.71,0,0,0,0,31.08,36.49,47.18,50.62,47.88,52.13,59.9,62.06,16.5,23.2,"Bartow County",14,18,13,1,46,0.695652173913043,865,18.804347826087,83.4,5.1,56.5,"Bartow County",88797.1,62489.41,69588.2,34.8,41.2,24,1,6248469.45,9137.83984375,24.2999992370605,12.7,18.8,1,-6.42
"10","Adamson Middle School","Clayton County","Urban","M",-7.46,6.26,47.9,43.19,54.16,35.73,0,0,0,0,47.19,39.52,47.9,43.19,45.26,48.72,0,0,30.41,24.67,0,0,0,0,52.64,36.12,54.16,35.73,0,0,0,0,0,0,"Clayton County",17,17,7,1,42,0.595238095238095,594,14.1428571428571,1.3,70.4,100,"Clayton County",105016.28,57279.13,64677.5,78.6,15.2,6.2,1,4909562.69,11287.58984375,47.4000015258789,7.9,3.5,1,-7.46
