School Name,County,Avg. Annual Salaries Administrators,Avg. Annual Salaries Teachers,Avg. Annual Salaries Support Personnel
Appling County High School,Appling County,97801.92,61291.51,67168.76
Appling County Elementary School,Appling County,86657.01,55741.82,70821.55
Appling County Middle School,Appling County,93731.52,57376.59,71343.44
Appling County Primary School,Appling County,89797.71,56057.08,61674.75
Altamaha Elementary School,Appling County,95679.17,56776.17,64261.38
Fourth District Elementary School,Appling County,91813.16,59117.13,56536.39
Central Office,Appling County,18763293.610000003,10000.0,11940503.530000003
All Column Values,Appling County,19989847.489999995,12392346.369999986,13831499.659999998
Atkinson County High School,Atkinson County,88498.59,56254.9,57686.65
Atkinson County Middle School,Atkinson County,83684.99,51783.12,72437.82
Willacoochee Elementary School,Atkinson County,76291.87,57952.79,56097.65
Pearson Elementary School,Atkinson County,76492.31,56293.1,60817.03
Bacon County Primary School,Bacon County,86147.4,55977.35,68494.84
Bacon County Middle School,Bacon County,95724.8,51809.77,64705.33
Bacon County High School,Bacon County,87491.44,56870.14,68037.64
Bacon County Elementary School,Bacon County,90584.0,56473.74,69749.2
Baker County K12 School,Baker County,75550.0,50619.28,72752.84
Oak Hill MS,Baldwin County,93487.88,56122.5,68713.25
Baldwin High School,Baldwin County,96173.13,56159.26,71495.37
Lakeview Academy,Baldwin County,99425.24,52704.15,55749.5
Midway Hills Primary,Baldwin County,93521.9,56194.62,53663.5
Lakeview Primary,Baldwin County,96444.83,55778.79,71901.67
Midway Hills Academy,Baldwin County,76980.0,56403.0,58638.0
Baldwin Child & Family Development Center,Baldwin County,112022.95,48238.73,0
Baldwin Ombudsman Learning Center,Baldwin County,85497.58,0,0
Transportation Facility,Baldwin County,366453.42,0,2319788.01
Other Auxillary Facility,Baldwin County,2803720.190000001,64881.67,2090249.19
Banks County Middle School,Banks County,75044.32,59020.06,63667.34
Banks County Elementary School,Banks County,83080.68,57761.67,63264.87
Banks County High School,Banks County,79540.77,59893.41,69608.08
Banks County Primary School,Banks County,73861.64,58309.75,65379.33
Apalachee High School,Barrow County,79610.16,53186.23,58838.79
County Line Elementary School,Barrow County,77742.86,53160.56,56313.15
Haymon-Morris Middle School,Barrow County,83965.97,53121.99,61203.94
Bear Creek Middle School,Barrow County,181876.02,119364.57,139629.55
Kennedy Elementary School,Barrow County,79320.17,53558.19,57657.18
Bramlett Elementary School,Barrow County,82233.61,56492.47,60600.76
Westside Middle School,Barrow County,152338.37,109939.55,131948.87
Bethlehem Elementary School,Barrow County,166715.36,104313.65,123422.42
Russell Middle School,Barrow County,76619.49,51301.21,63139.54
Yargo Elementary School,Barrow County,82370.59,52940.05,57088.76
Winder Elementary School,Barrow County,83062.61,52096.18,56556.27
Barrow Arts and Sciences Academy,Barrow County,85658.06,55027.22,62894.21
Auburn Elementary School,Barrow County,74728.15,49884.75,59734.68
Winder-Barrow High School,Barrow County,80844.77,53373.41,57771.06
Holsenbeck Elementary School,Barrow County,80107.14,49498.1,60393.08
Statham Elementary School,Barrow County,72512.61,55339.14,57947.93
Alternative School,Barrow County,84818.91,57608.47,63994.0
Arts and Innovation Magnet Program,Barrow County,89800.81,53466.61,0
Sims Academy of Innovation and Technology Program,Barrow County,72342.41,55397.69,69762.23
Woodland Middle School at Euharlee,Bartow County,90859.0,58228.53,73945.0
Clear Creek Elementary School,Bartow County,188480.45,118099.67,141642.88
Adairsville High School,Bartow County,91949.89,66100.02,68848.52
Pine Log Elementary,Bartow County,91710.0,63342.01,73984.25
Euharlee Elementary School,Bartow County,82957.0,62363.88,71401.75
Cass High School,Bartow County,94130.0,61814.43,60568.59
Cloverleaf Elementary,Bartow County,95530.5,60217.29,64818.8
White Elementary School,Bartow County,88350.0,58208.04,67069.0
Adairsville Elementary School,Bartow County,94891.5,59541.61,76496.0
Mission Road Elementary School,Bartow County,92795.5,63478.0,71895.67
Red Top Middle School,Bartow County,95630.0,61592.26,65963.0
Cass Middle School,Bartow County,91944.0,59726.74,71602.6
Allatoona Elementary School,Bartow County,90516.5,55870.97,63915.4
