State,County_Name,Population_2010,RUCC_2013,Description,Urban/Rural
GA,Appling County,"18,236",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Atkinson County,"8,375",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",Rural
GA,Bacon County,"11,096",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Baker County,"3,451",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Baldwin County,"45,720",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Banks County,"18,395",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Barrow County,"69,367",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Bartow County,"100,157",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Ben Hill County,"17,634",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Berrien County,"19,286",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Bibb County,"155,547",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Bleckley County,"13,063",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Brantley County,"18,411",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Brooks County,"16,243",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",Urban
GA,Bryan County,"30,233",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Bulloch County,"70,217",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Burke County,"23,316",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Butts County,"23,655",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Calhoun County,"6,694",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",Rural
GA,Camden County,"50,513",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",Rural
GA,Candler County,"10,998",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",Rural
GA,Carroll County,"110,527",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,Urban
GA,Catoosa County,"63,942",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Charlton County,"12,171",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",Rural
GA,Chatham County,"265,128",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
GA,Chattahoochee County,"11,267",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",Urban
